genus_name,tax_id,genus_url
Acetilactobacillus,2767874,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767874
Agrilactobacillus,2767875,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767875
Amylolactobacillus,2767876,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767876
Apilactobacillus,2767877,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767877
Bombilactobacillus,2767878,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767878
Companilactobacillus,2767879,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767879
Convivina,1697027,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=1697027
Dellaglioa,2767880,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767880
Fructilactobacillus,2767881,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767881
Fructobacillus,559173,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=559173
Furfurilactobacillus,2767882,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767882
Holzapfeliella,2767883,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767883
Lacticaseibacillus,2759736,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2759736
Lactiplantibacillus,2767842,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767842
Candidatus Gallilactobacillus,2840556,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2840556
Lactobacillus,1578,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=1578
Lapidilactobacillus,2767884,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767884
Latilactobacillus,2767885,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767885
Lentilactobacillus,2767893,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767893
Leuconostoc,1243,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=1243
Levilactobacillus,2767886,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767886
Ligilactobacillus,2767887,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767887
Limosilactobacillus,2742598,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2742598
Liquorilactobacillus,2767888,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767888
Loigolactobacillus,2767889,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767889
Nicolia,2978367,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2978367
Oenococcus,46254,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=46254
Paucilactobacillus,2767890,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767890
Pediococcus,1253,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=1253
Periweissella,2930384,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2930384
Schleiferilactobacillus,2767891,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767891
Secundilactobacillus,2767892,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2767892
Weissella,46255,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=46255
